key,word,lang,domain,group,sim_sexual,sim_neutral,hhp_index,sim_primary
correrse_es,correrse,es,movement,HHP,0.8027791122514425,0.6816884622842896,0.12109064996715291,0.7034084591506905
montar_es,montar,es,movement,HHP,0.632895092565072,0.6701184812226605,-0.03722338865758845,0.7528005471031377
gada_ko,가다,ko,movement,HHP,0.7065020014879992,0.7802243723919424,-0.07372237090394318,0.8254825795244826
lai_zh,来,zh,movement,HHP,0.7272049592563121,0.780160263655024,-0.05295530439871188,0.7856725598304561
lick_en,lick,en,food,HHP,0.7272428532813346,0.6667671620272109,0.060475691254123776,0.6559042150130343
tie_en,tie,en,tool,HHP,0.6271467040532881,0.6776420827728726,-0.05049537871958454,0.6588151299769054
obey_en,obey,en,power,HHP,0.6232494463980792,0.6219047787161096,0.0013446676819696135,0.6449775026276487
nameru_ja,舐める,ja,food,HHP,0.7834488179261381,0.7098736573751242,0.07357516055101387,0.7077707375780036
shitagau_ja,従う,ja,power,HHP,0.672996872588597,0.69861301447559,-0.025616141886993016,0.7212182755684138
chaud_fr,chaud,fr,temperature,HHP,0.7303158143500875,0.7410061367928724,-0.010690322442784894,0.7695330323440119
mouiller_fr,mouiller,fr,moisture,HHP,0.6801675543145397,0.6719522107109501,0.008215343603589553,0.7935674069510563
heiss_de,heiß,de,temperature,HHP,0.7725254117896034,0.7399324989216931,0.03259291286791033,0.7690048098856596
feucht_de,feucht,de,moisture,HHP,0.7169819610569993,0.6880918727076921,0.028890088349307175,0.8146534088528659
caliente_es,caliente,es,temperature,HHP,0.6949517917303217,0.6889682890144118,0.005983502715909972,0.7482957012082933
mojarse_es,mojarse,es,moisture,HHP,0.6773129493866769,0.6801577193091245,-0.002844769922447643,0.7926243658754075
walk_en,walk,en,movement,Control,0.6646555962791472,0.7253408087334634,-0.06068521245431624,0.8408590019985928
sit_en,sit,en,position,Control,0.6326714349318444,0.6538887339812869,-0.021217299049442473,0.71456037061957
cold_en,cold,en,temperature,Control,0.6682350365938932,0.7107748260758515,-0.04253978948195836,0.7665259262225517
dry_en,dry,en,moisture,Control,0.6553523057823947,0.6768002788250258,-0.02144797304263113,0.7346260722540758
cup_en,cup,en,tool,Control,0.6709011589907122,0.7172445513469774,-0.04634339235626517,0.6912193446626342
desk_en,desk,en,tool,Control,0.6755264864620032,0.8029283877733684,-0.1274019013113652,0.763274593001122
pencil_en,pencil,en,tool,Control,0.6670441160100999,0.7409672647883382,-0.07392314877823825,0.7180144059480826
68_en,68,en,number,Control,0.5943965431937387,0.6408989836873014,-0.04650244049356267,0.6392739483246558
70_en,70,en,number,Control,0.6337429087022335,0.688267949831838,-0.054525041129604546,0.6806957569533926
breathe_en,breathe,en,air,Control,0.674428614821995,0.6742263761079795,0.0002022387140154791,0.7684009504563256
carry_en,carry,en,movement,Control,0.5941075316123914,0.6277674081912115,-0.03365987657882008,0.6450095344778586
table_en,table,en,tool,Control,0.6649417835404954,0.7819623438251215,-0.11702056028462615,0.7413027040931044
aruku_ja,歩く,ja,movement,Control,0.7126265527669722,0.7697791573972621,-0.05715260463028993,0.881136087350587
suwaru_ja,座る,ja,position,Control,0.7371230944606617,0.7745458840597887,-0.03742278959912704,0.8378641743850419
koppu_ja,コップ,ja,tool,Control,0.6937954833393367,0.7531924945125007,-0.05939701117316398,0.7399244662388633
tsukue_ja,机,ja,tool,Control,0.6973474631706822,0.8250003516018742,-0.12765288843119205,0.7822438466687995
enpitsu_ja,鉛筆,ja,tool,Control,0.7084158045378647,0.7745502979186407,-0.06613449338077604,0.7674804632352064
marcher_fr,marcher,fr,movement,Control,0.6489833141319904,0.7327161730423277,-0.08373285891033733,0.8993023706951847
asseoir_fr,s'asseoir,fr,position,Control,0.6687724779190376,0.7231106318079028,-0.054338153888865204,0.7922590216846899
gehen_de,gehen,de,movement,Control,0.7227257664994586,0.7435634234235874,-0.020837656924128756,0.9206322055537166
sitzen_de,sitzen,de,position,Control,0.7138630712963163,0.7282412399193763,-0.014378168623059961,0.8248630326680202
geotda_ko,걷다,ko,movement,Control,0.6838249928438331,0.7692080872661666,-0.0853830944223335,0.885563804176855
zou_zh,走,zh,movement,Control,0.7229729055382511,0.769573217722535,-0.04660031218428384,0.872891962408967
chew_en,chew,en,food,Control,0.6143144013964673,0.6314661081790172,-0.017151706782549847,0.6317760816224347
fasten_en,fasten,en,tool,Control,0.6126546896090754,0.6455525728650131,-0.03289788325593768,0.6508778929006523
manage_en,manage,en,power,Control,0.6248832237467772,0.718544822227762,-0.09366159848098476,0.8017820872108179
warm_en,warm,en,temperature,Control,0.6914662827269361,0.7051006121933188,-0.013634329466382655,0.7572711495535644
damp_en,damp,en,moisture,Control,0.6071982078232199,0.6102971243264648,-0.0030989165032448973,0.7046346960219021
kamu_ja,噛む,ja,food,Control,0.7299285488872224,0.7175310823532819,0.012397466533940471,0.725252662544871
koteisuru_ja,固定する,ja,tool,Control,0.6502407250165261,0.6879129767862776,-0.03767225176975153,0.6926796875819468
atarakai_ja,温かい,ja,temperature,Control,0.7346287798594334,0.7403330637862862,-0.005704283926852738,0.7876681346501221
shimeru_ja,湿る,ja,moisture,Control,0.6794433662915487,0.6433955782832879,0.036047788008260806,0.7850738002465332
tiede_fr,tiède,fr,temperature,Control,0.6448876753885686,0.676369223056251,-0.03148154766768241,0.7296910589052011
humide_fr,humide,fr,moisture,Control,0.6762514154044132,0.7105507067215111,-0.03429929131709786,0.8572828750752204
kuhl_de,kühl,de,temperature,Control,0.617926872558153,0.6403652414440817,-0.02243836888592865,0.6817574088188201
